Number,Name,Type,LastEruptionYear,Country,Region,EvidenceCategory,MajorRocks,MinorRocks,PopulationClose
284131,Minami-Hiyoshi,Submarine,1975,Japan,"Izu, Volcano, and Mariana Islands",Eruption Observed,Trachyandesite / Basaltic Trachyandesite,,0
355102,Miniques,Stratovolcano(es),Unknown,Chile,"Northern Chile, Bolivia and Argentina",Evidence Uncertain,Andesite / Basaltic Andesite	Dacite,,39
345030,Miravalles,Stratovolcano,1946,Costa Rica,Costa Rica,Eruption Observed,Andesite / Basaltic Andesite	Rhyolite	Dacite,,7492
354010,"Misti, El",Stratovolcano,1985,Peru,Peru,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Rhyolite,,1507
284040,Miyakejima,Stratovolcano,2010,Japan,"Izu, Volcano, and Mariana Islands",Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,3189
357130,Mocho-Choshuenco,Stratovolcano(es),1937,Chile,Central Chile and Argentina,Eruption Observed,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,789
290041,Moekeshiwan [Lvinaya Past],Stratovolcano,-7480,Japan - administered by Russia,Kuril Islands,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,206
311111,Moffett,Stratovolcano,-1600,United States,Aleutian Islands,Eruption Dated,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,0
352005,Mojanda,Stratovolcano(es),Unknown,Ecuador,Ecuador,Evidence Uncertain,Andesite / Basaltic Andesite	Dacite	Rhyolite,,15510
344090,Momotombo,Stratovolcano,2016,Nicaragua,Nicaragua,Eruption Observed,Basalt / Picro-Basalt	Andesite / Basaltic Andesite,,1851
382110,Monaco Bank,Submarine,1911,Portugal,Azores,Eruption Observed,No Data (checked),,0
323110,Mono Lake Volcanic Field,Pyroclastic cone(s),1790,United States,USA (California),Eruption Dated,Dacite	Rhyolite	Basalt / Picro-Basalt,,1066
323120,Mono-Inyo Craters,Lava dome(s),1380,United States,USA (California),Eruption Dated,Rhyolite,Dacite	Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,7393
242050,Monowai,Submarine,2012,New Zealand,Tonga Islands,Eruption Observed,Basalt / Picro-Basalt,,0
390081,Montagu Island,Shield,2007,United Kingdom,Antarctica and South Sandwich Islands,Eruption Observed,Basalt / Picro-Basalt,,0
390017,Morning,Shield,Unknown,Antarctica,Antarctica and South Sandwich Islands,Evidence Uncertain,Phonolite	Trachybasalt / Tephrite Basanite	Basalt / Picro-Basalt,Trachyte / Trachydacite,0
268063,Moti,Stratovolcano,Unknown,Indonesia,Halmahera,Evidence Credible,Andesite / Basaltic Andesite	Basalt / Picro-Basalt,,5051
257001,Motlav,Stratovolcano,Unknown,Vanuatu,Vanuatu,Evidence Credible,Basalt / Picro-Basalt,,292
333030,Moua Pihaa,Submarine,1970,France,Pacific Ocean (central),Eruption Dated,Trachybasalt / Tephrite Basanite,,0
221123,Mousa Alli,Stratovolcano,Unknown,Ethiopia-Eritrea-Djibouti,Africa (northeastern) and Red Sea,Evidence Credible,Rhyolite	Trachyte / Trachydacite	Basalt / Picro-Basalt,,1148
290100,Moyorodake [Medvezhia],Stratovolcano,1999,Japan - administered by Russia,Kuril Islands,Eruption Observed,Andesite / Basaltic Andesite	Basalt / Picro-Basalt	Dacite,,42
342130,Moyuta,Stratovolcano,Unknown,Guatemala,Guatemala,Evidence Credible,Andesite / Basaltic Andesite,Dacite	Basalt / Picro-Basalt,15469
223060,Muhavura,Stratovolcano,Unknown,Uganda-Rwanda,Africa (central),Evidence Credible,Trachybasalt / Tephrite Basanite	Trachyandesite / Basaltic Trachyandesite,,197162
252021,Mundua,Complex,Unknown,Papua New Guinea,New Britain,Evidence Credible,Basalt / Picro-Basalt,,501
263251,Muria,Stratovolcano,-160,Indonesia,Java,Eruption Dated,Trachybasalt / Tephrite Basanite	Trachyte / Trachydacite	Phonolite,,7653
271070,Musuan,Lava dome,1886,Philippines,Mindanao,Eruption Observed,Andesite / Basaltic Andesite	Dacite,,134114
300060,Mutnovsky,Complex,2000,Russia,Kamchatka Peninsula,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite	Dacite,0
284070,Myojinsho,Submarine,1970,Japan,"Izu, Volcano, and Mariana Islands",Eruption Observed,Dacite	Andesite / Basaltic Andesite	Rhyolite,,0
283100,Myokosan,Stratovolcano,-750,Japan,Honshu,Eruption Dated,Andesite / Basaltic Andesite	Dacite	Basalt / Picro-Basalt,,11033
221101,Nabro,Stratovolcano,2012,Eritrea,Africa (northeastern) and Red Sea,Eruption Observed,Trachyte / Trachydacite	Rhyolite	Basalt / Picro-Basalt,,145
245030,Nabukelevu,Lava dome(s),1660,Fiji,Fiji Islands,Eruption Dated,Andesite / Basaltic Andesite	Dacite,,1379
